#,Name,Position,Year,Status,team
59,Cam Hannah,OL,So,Inactive,Ellsworth Community College
65,Jeremiah Wilkinson,OL,Fr,Active,Ellsworth Community College
66,Emonte Neal,DL,So,Active,Ellsworth Community College
66,Cameron Wellington-Knibbs,OL,So,Inactive,Ellsworth Community College
67,Aiden Calvin,OL,So,Inactive,Ellsworth Community College
68,Christian Slater,OL/DL,Fr,Active,Ellsworth Community College
69,Carter Butterfield,OL,So,Active,Ellsworth Community College
70,Rollins Asugha,OL,So,Active,Ellsworth Community College
71,Matthew Almanzar,OL,So,Inactive,Ellsworth Community College
72,Jace Smith,OL,Fr,Active,Ellsworth Community College
73,Jatavious Armmer,OL,So,Active,Ellsworth Community College
74,Kemonte Myles,OL,So,Active,Ellsworth Community College
75,Anthony Kiatamba,OL,Fr,Active,Ellsworth Community College
76,Trenton Meyer,OL,Fr,Inactive,Ellsworth Community College
77,Josh Jones,OL,Fr,Active,Ellsworth Community College
78,Darrell Jones,OL,So,Inactive,Ellsworth Community College
79,Ka'Nyree Smith,OL,Fr,Inactive,Ellsworth Community College
80,Jesse Abruscati,WR,Fr,Inactive,Ellsworth Community College
81,Troy Werking,WR,So,Active,Ellsworth Community College
82,Malik Fofana,WR,So,Inactive,Ellsworth Community College
83,Eric Nicholas,WR,So,Inactive,Ellsworth Community College
84,Elijah Gay,WR,So,Inactive,Ellsworth Community College
84,Tate Glaspie,WR,So,Active,Ellsworth Community College
86,Keondre Woodard-Broaddus,WR,Fr,Inactive,Ellsworth Community College
88,Jaali Parker,WR,So,Active,Ellsworth Community College
89,Kacen Boyer,WR,Fr,Active,Ellsworth Community College
90,Caliel Long,DL,So,Active,Ellsworth Community College
91,Harlem Adams,TE,Fr,Inactive,Ellsworth Community College
91,Emmanuel Sefah Boakye,DL,So,Inactive,Ellsworth Community College
92,David Pettway,DL,Fr,Active,Ellsworth Community College
93,Nikita Novikov,DL,Fr,Inactive,Ellsworth Community College
94,Morrell Burns,DL,So,Active,Ellsworth Community College
96,Blessing Igbinedion,DL,Fr,Active,Ellsworth Community College
97,Sherman Hopkins,DL,Fr,Active,Ellsworth Community College
98,Malachi Davis,DL,Fr,Inactive,Ellsworth Community College
99,Jiquez Minor,DL,So,Active,Ellsworth Community College
0D,Jeremiah Caldwell,,,Active,Garden City Community College
0O,Gene Sledge Jr.,,,Active,Garden City Community College
1D,Bravion Campbell,,,Active,Garden City Community College
2D,JayT Jackson,,,Active,Garden City Community College
3D,"Jaden ""Cash"" Watkins",,,Active,Garden City Community College
4D,"Shamareon ""Bo Bo"" McKinnon",,,Active,Garden City Community College
5D,Tyler Lassiter,,,Active,Garden City Community College
8D,Karson Butts,,,Active,Garden City Community College
9D,Dawson Johnson,,,Active,Garden City Community College
10,J'Kharri Thomas,,,Active,Garden City Community College
11,Liam Oczkowski,,,Active,Garden City Community College
12,"Mosese ""Mo"" Foketi",,,Active,Garden City Community College
13,Tochi Okoro,,,Active,Garden City Community College
14,Dedrick Borden,,,Active,Garden City Community College
15,"Axzavian ""Zay"" Alexander",,,Active,Garden City Community College
16,David Duran Jr.,QB,,Active,Garden City Community College
17,Julius Tikoisuva,,SO,Active,Garden City Community College
18,Braxton Frey,,,Active,Garden City Community College
19,Derrick Vargas,,,Active,Garden City Community College
1O,"DaeJuan ""DJ"" Thompson",,,Active,Garden City Community College
20,Jayce Schriner,,,Active,Garden City Community College
21,Makkah Jordan,,,Active,Garden City Community College
22,Michael Thomas,,,Active,Garden City Community College
23,Thiophile Georges,,,Active,Garden City Community College
24,Kyle Tipinski,,,Active,Garden City Community College
25,"William ""Barrett"" Powers",,,Active,Garden City Community College
26,Jeremy Colbert Jr.,,,Active,Garden City Community College
27,Terrance Butler,,,Active,Garden City Community College
2O,Zac Dyer,,,Active,Garden City Community College
30,Elijah Wilson,,,Active,Garden City Community College
31,Joshua Brewer,,FR,Active,Garden City Community College
32,Amanie Luten,,,Active,Garden City Community College
34,Mason King,,,Active,Garden City Community College
38,Zahmari Palode-Gary,,,Active,Garden City Community College
3o,Tyler Nelson,,,Active,Garden City Community College
40,Ronel Nukah,,,Active,Garden City Community College
41,Rasean Randall,,,Active,Garden City Community College
42,Chris Wade,,,Active,Garden City Community College
43,Dominique Julius,,SO,Active,Garden City Community College
48,Enese Tonga,,,Active,Garden City Community College
4O,Elijah Griffin,,,Active,Garden City Community College
6D,Teegan Haines,,,Active,Garden City Community College
28,Sir'Sean Ingram,,FR,Active,Garden City Community College
51,Samuel Sneed,,,Active,Garden City Community College
52,Jakob Mora-Chavez,,,Active,Garden City Community College
54,Cameron Todd,,,Active,Garden City Community College
55,Joseph Nnamuchi,,,Active,Garden City Community College
56,Kaliem Croswell,,,Active,Garden City Community College
57,Sebastian Lopez-Ysais,,,Active,Garden City Community College
58,Nathan Baudry,,,Active,Garden City Community College
5O,Dejuan Lacy,,,Active,Garden City Community College
62,"Adaryll ""AJ"" Vinson",,,Active,Garden City Community College
64,Cole Chalashtari,,,Active,Garden City Community College
69,Isaac Dean,,,Active,Garden City Community College
6O,Tylik Burton,,,Active,Garden City Community College
70,Gannon Lauer,,,Active,Garden City Community College
72,Augustin Ta'ase,,FR,Active,Garden City Community College
73,Zachariah Siulepa,,,Active,Garden City Community College
74,Antonio Wilson,,,Active,Garden City Community College
75,Connor Tuk,,,Active,Garden City Community College
77,"Siosaia ""Leni"" Lapuaho",,,Active,Garden City Community College
79,Steven Moore,,,Active,Garden City Community College
7O,Tanner Rinker,,,Active,Garden City Community College
82,"Marcus ""MJ"" White",,,Active,Garden City Community College
84,Elijah Hakim,,,Active,Garden City Community College
85,"Demetris ""Meech"" McKelvey",,,Active,Garden City Community College
88,Joseph Recalde-Phillips,,,Active,Garden City Community College
8O,Zo'marion Harper,,,Active,Garden City Community College
90,Shakaun Bowser,,,Active,Garden City Community College
94,Elijah Simmons,,,Active,Garden City Community College
95,Habib Bello,,,Active,Garden City Community College
96,Mohamed Altayeb,,,Active,Garden City Community College
97,Jacob Griffin,,,Active,Garden City Community College
99,Cortez Velasco,,,Active,Garden City Community College
9O,Jayson Salkey,,,Active,Garden City Community College
1,Jacorey Walker,DB,SO,Active,Georgia Military College
11,Javon Kinchen,CB,FR,Active,Georgia Military College
12,Keith Johnson,WR,FR,Active,Georgia Military College
16,Chris Phillips,QB,SO,Active,Georgia Military College
18,Joshua Okeleye,WR,FR,Active,Georgia Military College
19,Trenton Smith,WR,FR,Active,Georgia Military College
1A,Jahlun Flud,WR,SO,Active,Georgia Military College
1B,Kirtavious Hightower,CB,FR,Active,Georgia Military College
1C,Jordan Mcrae,DB,FR,Active,Georgia Military College
1F,Zion Bryan,WR,FR,Active,Georgia Military College
1D,Shamare Dendy,WR,SO,Active,Georgia Military College
1G,Mikell Roberts,DB,FR,Active,Georgia Military College
1H,Lee Niles,WR,FR,Active,Georgia Military College
1I,Landen Vickers,LB,FR,Active,Georgia Military College
1J,Clark Jackson,TE,FR,Active,Georgia Military College
2,Jordan Allen,CB,FR,Active,Georgia Military College
3,Chip Cooper,QB,SO,Active,Georgia Military College
5,Jakyri Jones,DB,SO,Active,Georgia Military College
6,Trequan Jones,RB,SO,Active,Georgia Military College
8,Jorian Haynes,CB,FR,Active,Georgia Military College
10,Jaylan Brown,QB,FR,Active,Georgia Military College
13,Jabarie Baker,DB,FR,Active,Georgia Military College
14,William Embry,WR,FR,Active,Georgia Military College
15,Phillip Baynes,DB,FR,Active,Georgia Military College
17,Braylon Carstarphen,DB,FR,Active,Georgia Military College
1E,Tanner Ennis,DB,FR,Active,Georgia Military College
4,Cedric Evans,WR,FR,Active,Georgia Military College
20,Quan Floyd,CB,FR,Active,Georgia Military College
21,Kasai Jones,DB,FR,Active,Georgia Military College
22,Collin Kungu,LB,FR,Active,Georgia Military College
23,Will Hawkins,DB,SO,Active,Georgia Military College
25,Derrick Mincey,RB,SO,Active,Georgia Military College
26,Yauri Calixte,CB,FR,Active,Georgia Military College
27,Ta'Marion Peters,RB,FR,Active,Georgia Military College
28,Keonte Nunnally,TE,FR,Active,Georgia Military College
29,Edward Ablohr,LB,FR,Active,Georgia Military College
2A,Trevon Kinchen,RB,FR,Active,Georgia Military College
30,Ty Head,DL,FR,Active,Georgia Military College
31,Jarris Coney,LB,FR,Active,Georgia Military College
32,Creighton Horst,LB,FR,Active,Georgia Military College
33,Kyree Fuller,TE,FR,Active,Georgia Military College
34,Ashton Mitchell,TE,FR,Active,Georgia Military College
35,Jeremiah Burks,LB,FR,Active,Georgia Military College
36,Ricky Valdovinos,K,FR,Active,Georgia Military College
37,Freddy Perez,K,FR,Active,Georgia Military College
38,Da'Corian Stanley,TE,SO,Active,Georgia Military College
39,Kristopher Watson,LB,FR,Active,Georgia Military College
3A,Anthony Carter,CB,FR,Active,Georgia Military College
40,Demarie Jordan,LB,FR,Active,Georgia Military College
41,Walker Hicks,DL,FR,Active,Georgia Military College
42,Jonathan Wylly,LB,SO,Active,Georgia Military College
43,Liam Fordham,TE,FR,Active,Georgia Military College
44,Jonathan Navakas,TE,FR,Active,Georgia Military College
45,Bo Tallevast,TE,SO,Active,Georgia Military College
46,Cole Snyder,P,FR,Active,Georgia Military College
47,Darion Smith,DL,FR,Active,Georgia Military College
48,Elijah Howard,TE,FR,Active,Georgia Military College
49,Kalon Curry,LB,SO,Active,Georgia Military College
4A,Ryan Young,DB,FR,Active,Georgia Military College
50,Davion Foster,DL,FR,Active,Georgia Military College
51,River Creel,DL,FR,Active,Georgia Military College
52,Logan Moulder,DL,FR,Active,Georgia Military College
53,Jack Japour,LS,FR,Active,Georgia Military College
55,VaSean Moody,DE,SO,Active,Georgia Military College
56,Jailan Bennett,DL,FR,Active,Georgia Military College
57,Jamar Grimball,DL,SO,Active,Georgia Military College
58,Schneider Pierre,LB,SO,Active,Georgia Military College
59,Reed Stansell,LS,SO,Active,Georgia Military College
5A,Elijah Coleman,WR,FR,Active,Georgia Military College
7,Curt'Tavian Clark,QB,FR,Active,Georgia Military College
60,Jaylon Smith,OL,FR,Active,Georgia Military College
61,Gabe Pearce,OL,FR,Active,Georgia Military College
62,Isaiah Turner,OL,SO,Active,Georgia Military College
63,Khamari Gray,OL,FR,Active,Georgia Military College
64,Mykel Reed,OL,FR,Active,Georgia Military College
65,Nate Lee,OL,SO,Active,Georgia Military College
66,Wyatt Crosby,OL,FR,Active,Georgia Military College
67,Jerzabeon Grant,OL,FR,Active,Georgia Military College
68,Jayden Thomas,OL,FR,Active,Georgia Military College
69,Mariante Goldwire,OL,FR,Active,Georgia Military College
70,Johnathan Ashley,OL,SO,Active,Georgia Military College
71,Jamier Smith,OL,FR,Active,Georgia Military College
72,Cameron Bennett,OL,SO,Active,Georgia Military College
73,Treveon Campbell,OL,SO,Active,Georgia Military College
75,Jaylin Walton,OL,SO,Active,Georgia Military College
76,Max Thurston,OL,FR,Active,Georgia Military College
77,Ananias Harris,OL,FR,Active,Georgia Military College
78,Charlie Allen,OL,SO,Active,Georgia Military College
7A,Jordan Turner,CB,FR,Active,Georgia Military College
81,Darrell Bland,WR,SO,Active,Georgia Military College
84,Moses Garcia,K,FR,Active,Georgia Military College
85,Recordo Tarver,WR,FR,Active,Georgia Military College
86,Mason Moulder,WR,FR,Active,Georgia Military College
89,Kumasi Washington,DL,FR,Active,Georgia Military College
8A,Keenan Phillips,RB,FR,Active,Georgia Military College
90,Aiden Benton,DL,FR,Active,Georgia Military College
91,Miyon Conaway,DL,SO,Active,Georgia Military College
92,Amir Hopper,DL,FR,Active,Georgia Military College
93,Tyquavious Holland,DL,FR,Active,Georgia Military College
95,Donyea Broughton,DL,FR,Active,Georgia Military College
98,Trent Mapp,DL,FR,Active,Georgia Military College
99,Emmanuel Gyamfi,DL,FR,Active,Georgia Military College
1,Armoni Rue,NA,So,Active,Highland Community College - Kansas
2,Maki Williams,NA,So,Active,Highland Community College - Kansas
3,Dariyonne Bryant,NA,So,Active,Highland Community College - Kansas
4,Vincent Dubose,NA,So,Active,Highland Community College - Kansas
5,Bryant Coley,NA,So,Active,Highland Community College - Kansas
6,Javen Augustus,NA,So,Active,Highland Community College - Kansas
7,Jalen Foster,NA,So,Active,Highland Community College - Kansas
8,Elija' Trezvant,NA,Fr,Active,Highland Community College - Kansas
9,Jamarion Augustus,NA,So,Active,Highland Community College - Kansas
10,Jerome Robinson Jr.,NA,So,Active,Highland Community College - Kansas
11,Quavian Carter,NA,So,Active,Highland Community College - Kansas
12,Gunnar Smith,NA,So,Active,Highland Community College - Kansas
13,Javais McGhee,NA,So,Active,Highland Community College - Kansas
14,Amos Zaphir,NA,Fr,Active,Highland Community College - Kansas
15,Darius Woodard,NA,So,Active,Highland Community College - Kansas
16,Shane Armstrong,NA,So,Active,Highland Community College - Kansas
17,Dami'on Thompson,NA,So,Active,Highland Community College - Kansas
18,Jerome Brazan,NA,So,Active,Highland Community College - Kansas
19,Kahliek Rainey,NA,Fr,Active,Highland Community College - Kansas
21,Gavin Fellingham,NA,So,Active,Highland Community College - Kansas
22,Brice Johnson Jr.,NA,Fr,Active,Highland Community College - Kansas
23,Gabriel Hoskins,NA,Fr,Active,Highland Community College - Kansas
24,Brayden Uphaus,NA,So,Active,Highland Community College - Kansas
25,Jashard Richey,NA,So,Active,Highland Community College - Kansas
26,Jordan Bradley,NA,So,Active,Highland Community College - Kansas
27,Landyn Moore,NA,Fr,Active,Highland Community College - Kansas
28,TJ Porter,NA,Fr,Active,Highland Community College - Kansas
29,Tomauri Johnson,NA,Fr,Active,Highland Community College - Kansas
30,Javarion Barnett,NA,So,Active,Highland Community College - Kansas
31,Javan Patrick,NA,So,Active,Highland Community College - Kansas
32,Davion Winton,NA,Fr,Active,Highland Community College - Kansas
33,Donovan Leaks,NA,So,Active,Highland Community College - Kansas
34,Kevin Pollock,NA,Fr,Active,Highland Community College - Kansas
35,Blaze Baugh,NA,Fr,Active,Highland Community College - Kansas
36,Weston Dunbar,NA,Fr,Active,Highland Community College - Kansas
37,Jamal Hood,NA,So,Active,Highland Community College - Kansas
38,Justin Anderson,NA,Fr,Active,Highland Community College - Kansas
39,Drew Thompson,NA,,Active,Highland Community College - Kansas
40,Kyle Smith,NA,So,Active,Highland Community College - Kansas
41,Justin Smith,NA,Fr,Active,Highland Community College - Kansas
42,Jaylin Johnson,NA,Fr,Active,Highland Community College - Kansas
43,Tristan Randles,NA,So,Active,Highland Community College - Kansas
44,Jacob Malcom,NA,Fr,Active,Highland Community College - Kansas
45,Donovan Hamby,NA,Fr,Active,Highland Community College - Kansas
46,Myles Murphy,NA,So,Active,Highland Community College - Kansas
47,Branden McDonald,NA,So,Active,Highland Community College - Kansas
48,Coane Pross,NA,,Active,Highland Community College - Kansas
49,Gage Greer,NA,So,Active,Highland Community College - Kansas
50,C'Mariyun Hayes,NA,So,Active,Highland Community College - Kansas
51,Malique Morris-Ramirez,NA,So,Active,Highland Community College - Kansas
52,Alex Gunderson,NA,So,Active,Highland Community College - Kansas
53,Francisco Hall,NA,Fr,Active,Highland Community College - Kansas
54,Adrian Gonzales,NA,So,Active,Highland Community College - Kansas
55,Anthony Farr,NA,Fr,Active,Highland Community College - Kansas
57,Treyvioun Thomas,NA,Fr,Active,Highland Community College - Kansas
58,Michael Carson,NA,So,Active,Highland Community College - Kansas
59,Elijah Hernandez,NA,Fr,Active,Highland Community College - Kansas
61,Nathan Gandy,NA,Fr,Active,Highland Community College - Kansas
65,Jonathen Rodriguez,NA,So,Active,Highland Community College - Kansas
71,Jayden Flores,NA,So,Active,Highland Community College - Kansas
73,Jaden Jackson,NA,Fr,Active,Highland Community College - Kansas
74,Chase Hamilton,NA,Fr,Active,Highland Community College - Kansas
75,Keywon Adeboyeku-White,NA,So,Active,Highland Community College - Kansas
76,Javonte Gardner,NA,,Active,Highland Community College - Kansas
80,Davontis Clements,NA,Fr,Active,Highland Community College - Kansas
81,Gavin Cain,NA,So,Active,Highland Community College - Kansas
82,Ryley Zalusky,NA,So,Active,Highland Community College - Kansas
83,Demitrius Alexandre,NA,Fr,Active,Highland Community College - Kansas
84,Jason Scoma,NA,So,Active,Highland Community College - Kansas
85,Michael Townsend,NA,So,Active,Highland Community College - Kansas
87,Landen Thomas,NA,So,Active,Highland Community College - Kansas
88,Ezekiel Duncan,NA,So,Active,Highland Community College - Kansas
89,Abraham Hilbert,NA,Fr,Active,Highland Community College - Kansas
90,Shanard Lo-Ray,NA,So,Active,Highland Community College - Kansas
91,Tavales Curry,NA,So,Active,Highland Community College - Kansas
95,Kaden Briggs,NA,Fr,Active,Highland Community College - Kansas
98,Justin Dahlstrom,NA,Fr,Active,Highland Community College - Kansas
99,Markell Chapman,NA,So,Active,Highland Community College - Kansas
0,Trey Henderson,WR,So,Active,Hinds Community College
1,Preston Clendenin,DB,So,Active,Hinds Community College
2,Ja'Montae Wallace,WR,So,Active,Hinds Community College
3,Julius Bradley,DL,Fr,Active,Hinds Community College
4,Walter Owens,DB,So,Active,Hinds Community College
5,Nassir Donohoo,QB,So,Active,Hinds Community College
6,Demar Gardner,WR,Fr,Active,Hinds Community College
7,Trey McCray,DB,So,Active,Hinds Community College
8,Jaylen McCroy,DB,So,Active,Hinds Community College
9,Ja'Marian Johnson,RB,So,Active,Hinds Community College
10,Td Vaughn,WR,So,Active,Hinds Community College
11,Tyrell Pollard,WR,So,Active,Hinds Community College
12,Luke Bolin,WR,Fr,Active,Hinds Community College
13,Nehemiah Taylor,WR,Fr,Active,Hinds Community College
14,Jabari Watson,QB,Fr,Active,Hinds Community College
15,Jayden Reed,RB,So,Active,Hinds Community College
16,Robert Perry,WR,So,Active,Hinds Community College
17,Zach Ealy,QB,Fr,Active,Hinds Community College
18,Ethan Bobo,WR,Fr,Active,Hinds Community College
19,Jaylen King,WR,Fr,Active,Hinds Community College
20,Gavin Drones,DB,So,Active,Hinds Community College
21,Rj Hall,DB,Fr,Active,Hinds Community College
22,Veshon Malone,DB,Fr,Active,Hinds Community College
23,Kearris Gilliam,DB,So,Active,Hinds Community College
24,Kaleb Washington,DB,Fr,Active,Hinds Community College
25,TJ Kelly,LB,So,Active,Hinds Community College
26,Koury Vample,DB,Fr,Active,Hinds Community College
27,Micharyio Spann,DB,Fr,Active,Hinds Community College
28,Damian Goss,DB,Fr,Active,Hinds Community College
29,Alvin Thomas,DB,Fr,Active,Hinds Community College
30,Andrew Tate,LB,So,Active,Hinds Community College
31,Noel Guerrero,LB,So,Active,Hinds Community College
32,Demondra Scott,LB,So,Active,Hinds Community College
33,Thomas Murphy,LB,So,Active,Hinds Community College
34,Jeremy Rias,LB,So,Active,Hinds Community College
35,Tj Grant,DL,Fr,Active,Hinds Community College
36,Nick Thompson,RB,Fr,Active,Hinds Community College
37,Luke Reed,QB,,Active,Hinds Community College
38,Tanner Hollingsworth,K,So,Active,Hinds Community College
39,Wyatt Salter,,Fr.,Active,Hinds Community College
40,William Harry,LB,So,Active,Hinds Community College
42,Derrick Davis,DL,So,Active,Hinds Community College
43,Avery Elridge,TE,Fr,Active,Hinds Community College
44,Emmanuel Sutton,DL,Fr,Active,Hinds Community College
45,Jawaun Keys,DL,So,Active,Hinds Community College
47,Aven Kelley,DL,So,Active,Hinds Community College
48,Jermiyah Parkman,DL,Fr,Active,Hinds Community College
50,Quintarus McCray III,OL,Fr,Active,Hinds Community College
51,Cameron Williams,OL,So,Active,Hinds Community College
52,Marcus McDaniel,OL,So,Active,Hinds Community College
53,Jerald Woods,OL,So,Active,Hinds Community College
54,Eddie Bennett,OL,So,Active,Hinds Community College
55,Willie Casey,OL,So,Active,Hinds Community College
56,Tyrone Butler,OL,Fr,Active,Hinds Community College
58,Jebari Booth,DL,Fr,Active,Hinds Community College
70,Ronell Harper,OL,Fr,Active,Hinds Community College
71,Saquon Miles,OL,So,Active,Hinds Community College
73,Braden Cobb,OL,Fr,Active,Hinds Community College
77,Xzavion Evans,OL,Fr,Active,Hinds Community College
78,Teddy Roby,OL,Fr,Active,Hinds Community College
90,Micah Hampton,DL,Fr,Active,Hinds Community College
92,Alton Tarber,DL,So,Active,Hinds Community College
95,Patrick Tackie,DL,So,Active,Hinds Community College
96,Justin Parrott,DL,Fr,Active,Hinds Community College
97,Devarrick Woods,DL,So,Active,Hinds Community College
0,Corion Mathis,DL,Sophomore,Active,Holmes Community College
1D,Kam'Ron Robinson,DB,Freshman,Active,Holmes Community College
2D,Dandreyus Giles,DB,Sophomore,Active,Holmes Community College
3,Chase Richardson,QB,Freshman,Active,Holmes Community College
4,Christavious Savior,DB,Sophomore,Active,Holmes Community College
5,Jalon Townes,LB,Sophomore,Active,Holmes Community College
6,Cam Joseph,WR,Freshman,Active,Holmes Community College
7,Janari Powell,DB,Freshman,Active,Holmes Community College
8,Cayden Burger,WR,Freshman,Active,Holmes Community College
9,Tavares Wade,RB,Freshman,Active,Holmes Community College
10,Dtrevion Parker,LB,Sophomore,Active,Holmes Community College
11,Jekerious Williams,,Freshman,Active,Holmes Community College
12,Colton DeShazo,WR,Sophomore,Active,Holmes Community College
13,Malcolm Boykin,WR,Sophomore,Active,Holmes Community College
14,Rayshawn Hardy,RB,Freshman,Active,Holmes Community College
15,Andre Coleman,,Freshman,Active,Holmes Community College
16,B.J. Johnson,WR,Freshman,Active,Holmes Community College
17,Tristin Purnell,WR,Freshman,Active,Holmes Community College
18,K.J. Miller,WR,Freshman,Active,Holmes Community College
19,Dez McWilliams,DB,Sophomore,Active,Holmes Community College
1O,Charlie Fair,QB,Freshman,Active,Holmes Community College
20,P.J. Pace,DB,Freshman,Active,Holmes Community College
21,Bishop Riley,DB,Sophomore,Active,Holmes Community College
22,Jeremy Atkins,DB,Freshman,Active,Holmes Community College
23,Deandre Pullen,RB,Freshman,Active,Holmes Community College
24,Octavious Pernell,DB,Sophomore,Active,Holmes Community College
25,Kebian Gilmore,LB,Freshman,Active,Holmes Community College
26,Chance Richardson,DB,Freshman,Active,Holmes Community College
27,Laterrius Haynes,DB,Sophomore,Active,Holmes Community College
28,B.J. Mitchell,LB,Freshman,Active,Holmes Community College
29,E.J. Segrest,LB,Freshman,Active,Holmes Community College
2O,John Ford,QB,Sophomore,Active,Holmes Community College
30,Lionel Williams,DL,Freshman,Active,Holmes Community College
31,Laquaris Harris,DB,Sophomore,Active,Holmes Community College
32,Amari Conley,WR,Sophomore,Active,Holmes Community College
33,Markell Richardson,DB,Freshman,Active,Holmes Community College
36,Dan Smith,DB,Sophomore,Active,Holmes Community College
38,Easton Sartin,RB,Freshman,Active,Holmes Community College
39,Donteye Drew,DL,Sophomore,Active,Holmes Community College
42,Kabron Purifoy,DL,Sophomore,Active,Holmes Community College
43,Allen Jones,DL,Freshman,Active,Holmes Community College
44,Jeremy Robertson,DL,Sophomore,Active,Holmes Community College
45,Jake Rodgers,LB,Freshman,Active,Holmes Community College
46,Lance Carson,DL,Sophomore,Active,Holmes Community College
50,Braylon McKinion,OL,Freshman,Active,Holmes Community College
51,Jaylin Rogers,OL,Freshman,Active,Holmes Community College
57,Antwone Breland,OL,Freshman,Active,Holmes Community College
62,Isaiah Morgan,OL,Freshman,Active,Holmes Community College
65,Dyllan Westmoreland,OL,Sophomore,Active,Holmes Community College
71,Tyler Abel,OL,Sophomore,Active,Holmes Community College
72,Johnny Holly,OL,Sophomore,Active,Holmes Community College
73,Brandon Elam,OL,Freshman,Active,Holmes Community College
77,Sean McGill,OL,Freshman,Active,Holmes Community College
78,Cole Parker,OL,Freshman,Active,Holmes Community College
79,Hubert Broadnax,OL,Freshman,Active,Holmes Community College
82,Silas Hinson,,Sophomore,Active,Holmes Community College
86,Dan Lindsay,K,Sophomore,Active,Holmes Community College
87,Andrew Merrell,K,Freshman,Active,Holmes Community College
88,Matthew Williams,WR,Freshman,Active,Holmes Community College
90,Montaine Bonner,DL,Freshman,Active,Holmes Community College
91,Jeremiah Kirk,DL,Sophomore,Active,Holmes Community College
92,Malik Bell,DL,Freshman,Active,Holmes Community College
93,Jay Matthews,LS,Sophomore,Active,Holmes Community College
97,Landon Carson,DL,Sophomore,Active,Holmes Community College
99,Timothy Van,,Sophomore,Active,Holmes Community College
0,La'Modrick Spencer,DB,Sophomore,Active,Hutchinson Community College
1,Samari Collier,QB,Sophomore,Active,Hutchinson Community College
1D,Korbyn Green,DB,Sophomore,Active,Hutchinson Community College
2,Tre Brown,WR,RS-Freshman,Active,Hutchinson Community College
2D,Demonte Gaston,DB,Sophomore,Active,Hutchinson Community College
3,Waymond Jordan Jr.,RB,Sophomore,Active,Hutchinson Community College
3D,Ormond Wallace,DB,Sophomore,Active,Hutchinson Community College
4,Aiden Bruce,WR,Freshman,Active,Hutchinson Community College
4D,David Jester,DB,RS-Freshman,Active,Hutchinson Community College
5D,Brice Summerall,DB,RS-Freshman,Active,Hutchinson Community College
5,Ja'Cory Thomas,WR,Sophomore,Active,Hutchinson Community College
6D,Avian Rice,DB,Sophomore,Active,Hutchinson Community College
6,Derrick Salley Jr.,WR,Freshman,Active,Hutchinson Community College
7,Benson Prosper,WR,Sophomore,Active,Hutchinson Community College
7D,Rayshawn Reynolds,DB,RS-Freshman,Active,Hutchinson Community College
8D,Tyler Blevins,LB,Sophomore,Active,Hutchinson Community College
8,Hudson Ferralez,QB,Freshman,Active,Hutchinson Community College
9D,Duke Clayton Jr.,DE,Sophomore,Active,Hutchinson Community College
9,Kordell Gouldsby,WR,Freshman,Active,Hutchinson Community College
10,Christian Johnson,QB,RS-Freshman,Active,Hutchinson Community College
11,Marshon Oxley,DE,Sophomore,Active,Hutchinson Community College
12,Lashavion Brown,DB,Sophomore,Active,Hutchinson Community College
13,Donte Ferrell Jr.,WR,Freshman,Active,Hutchinson Community College
14,La'Terrius Robinson,WR,Freshman,Active,Hutchinson Community College
15,Earl Parker,DB,RS-Freshman,Active,Hutchinson Community College
16,Chandavian Bradley,DE,RS-Freshman,Active,Hutchinson Community College
17,Dwayne Moorehead,WR,Sophomore,Active,Hutchinson Community College
19,Maurice Harrell,DB,Freshman,Active,Hutchinson Community College
20,Walter Samuel,RB,RS-Freshman,Active,Hutchinson Community College
21,Kollin Collier,DB,Freshman,Active,Hutchinson Community College
22,Jalen Rice,LB,Sophomore,Active,Hutchinson Community College
23,Jared Napoli,TE,Sophomore,Active,Hutchinson Community College
24,Tate Hoover,TE,RS-Freshman,Active,Hutchinson Community College
25,L.J. Lynch,DB,Freshman,Active,Hutchinson Community College
26,Semaj Flagg,LB,RS-Freshman,Active,Hutchinson Community College
27,Maison Vorise,DB,Freshman,Active,Hutchinson Community College
28,Titus Petteway,RB,Freshman,Active,Hutchinson Community College
29,Michael Graham,DB,Freshman,Active,Hutchinson Community College
30,Daeshaun Carter,RB,RS-Freshman,Active,Hutchinson Community College
31,Kedrick Walker,LB,Sophomore,Active,Hutchinson Community College
32,Blaise Hoover,K,Freshman,Active,Hutchinson Community College
33,Julius Bolden,RB,Sophomore,Active,Hutchinson Community College
34,Adrian Spencer,DB,RS-Freshman,Active,Hutchinson Community College
36,Jace Boswell,LB,RS-Freshman,Active,Hutchinson Community College
39,JaQuel Mack,LB,RS-Freshman,Active,Hutchinson Community College
40,Luke Forehand,ATH,RS-Freshman,Active,Hutchinson Community College
41,Dalton Rokey,LS,Freshman,Active,Hutchinson Community College
42,Brady Whitman,LB,Freshman,Active,Hutchinson Community College
43,Matti Zeh,TE,RS-Freshman,Active,Hutchinson Community College
44,K.J. Henson,DE,RS-Freshman,Active,Hutchinson Community College
45,Mickel Williams Jr.,DE,Sophomore,Active,Hutchinson Community College
47,Jason Wilson,DE,Freshman,Active,Hutchinson Community College
52,DeMarcus Johnson,DE,Freshman,Active,Hutchinson Community College
54,TaVeon Robinson,DT,Freshman,Active,Hutchinson Community College
55,Rudy Vargas,DT,Sophomore,Active,Hutchinson Community College
